sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity
20250903.112203_S30,5,5,XFG.3.4,XFG.3.4,True,0.38870499,0.38870561,1.0
20250903.112376_S35,15,15,XFY,XFY,True,0.214566,0.21456622,1.0
20250903.113066_S33,5,5,XFG.2,XFG.2,True,0.51036731,0.51036696,1.0
20250903.113145_S36,9,9,NB.1.8.1,NB.1.8.1,True,0.40819054,0.40820047,1.0
20250903.113260_S34,16,16,XFG.3,XFG.3,True,0.16821838,0.16822125,1.0
20250903.113609_S42,10,10,XFG.3.4,XFG.3.4,True,0.48863581,0.48863574,1.0
20250903.113617_S32,14,14,XFG.2,XFG.2,True,0.31923539,0.31923695,1.0
20250903.113619_S39,13,13,XFG.3.3.1,XFG.3.3.1,True,0.3193109,0.31931017,1.0
20250903.113670_S28,11,11,XFG.2,XFG.2,True,0.27833782,0.27833443,1.0
20250903.113673_S43,21,21,XFG.3.12,XFG.3.12,True,0.174818,0.17481799,1.0
20250903.113845_S29,9,9,XFG.2,XFG.2,True,0.45307175,0.45306951,1.0
20250904.109552_S41,11,11,XFG.2,XFG.2,True,0.32284347,0.32284326,1.0
20250904.111229_S37,13,13,XFG.5,XFG.5,True,0.20492327,0.20492208,1.0
20250904.112011_S47,2,2,XFG.2,XFG.2,True,0.67502598,0.67501832,1.0
20250904.113324_S49,10,10,XFG.2,XFG.2,True,0.92193753,0.92193829,1.0
20250904.113383_S48,13,13,XFG.3.4,XFG.3.4,True,0.29705271,0.29706752,1.0
20250904.113490_S50,13,13,XFG.2,XFG.2,True,0.28808385,0.28808516,1.0
20250905.113771_S15,6,6,XFG.9,XFG.9,True,0.56949641,0.56949605,1.0
20250905.113785_S27,9,9,XFG.3,XFG.3,True,0.33989868,0.33990745,1.0
20250905.113789_S14,26,26,XFG,XFG,True,0.22209381,0.22208465,1.0
20250911.BL_S51,8,8,B.1.1.529,B.1.1.529,True,0.51612437,0.51612433,1.0
20250911.TW_S52,7,7,B.1.1.161,B.1.1.161,True,0.27390654,0.27390846,1.0
250422.107834_S30_L001,4,4,PF.2,LP.8.1.6,False,0.49665992,0.4966596,1.0
250810.109655_S4,13,13,XFG.2,XFG.2,True,0.30491793,0.3049123,1.0
250810.112033_S27,2,2,XFG.2,XFG.2,True,0.99627047,0.9962698,1.0
250810.112304_S18,9,9,XFG.4.1,XFG.4.1,True,0.31578899,0.31577882,1.0
250810.112502_S2,10,10,XFG.3,XFG.3,True,0.30469088,0.30468948,1.0
250810.112511_S7,19,19,PQ.28,NB.1.8.1,False,0.32659602,0.32659305,1.0
250810.112513_S12,11,11,XFG.9,XFG.9,True,0.26269244,0.26265262,1.0
250810.112533_S11,5,5,XFG.9,XFG.9,True,0.48151731,0.48155243,1.0
250810.112541_S10,6,6,XFG.3,XFG.3,True,0.61430908,0.61429447,1.0
250811.109556_S6,9,9,XFG.13,XFG.13,True,0.822169,0.82216897,1.0
250811.109899_S14,10,10,XFG.3.9,XFG.3.9,True,0.39929702,0.39929857,1.0
250811.110209_S21,2,2,QM.1,QM.1,True,0.54912704,0.54912931,1.0
250811.110644_S20,5,5,XFG.5.2,XFG.5.2,True,0.58913,0.58912947,1.0
250811.110980_S35,9,9,XFG.3.5,XFG.3.5,True,0.55031269,0.5502873,1.0
250811.111221_S9,7,7,XFG.3.5,XFG.3.5,True,0.90944313,0.90944398,1.0
250811.111235_S5,4,4,XFG.10,XFG.10,True,0.544868,0.54486786,1.0
250811.111458_S29,2,2,XFG.3,XFG.3,True,0.64070679,0.64069214,1.0
250811.111654_S8,11,11,XFG.2,XFG.2,True,0.3020919,0.30208737,1.0
250811.111731_S47,10,10,XFG,XFG,True,0.293919,0.29387783,1.0
250811.111821_S1,4,4,XFG.3.16,XFG.3.16,True,0.30662783,0.30661665,1.0
250811.112359_S30,7,7,XFG.3,XFG.3,True,0.48668573,0.48668579,1.0
250811.112388_S3,17,17,XFG.3.5,XFG.3.5,True,0.21403512,0.214034,1.0
250811.112439_S28,7,7,XFG.4,XFG.28,False,0.14282864,0.14282224,1.0
250811.113026_S22,8,8,XFG.2,XFG.2,True,0.4693367,0.46937272,1.0
250811.113144_S23,9,9,XFG.3,XFG.3,True,0.36197949,0.36197895,1.0
250811.113181_S34,8,8,XFG.3.4,XFG.3.4,True,0.33591698,0.33591181,1.0
250811.113197_S19,6,6,XFG.3.4,XFG.3.4,True,0.56472793,0.56472717,1.0
250811.113221_S24,10,10,XFG.7,XFG.7,True,0.509776,0.50977595,1.0
250811.113418_S32,12,12,XFG.25,XFG.5,False,0.13297866,0.13297866,1.0
250812.110955_S41,1,1,NY.3.5,NY.3.5,True,0.99999751,0.99999916,1.0
250812.111225_S26,11,11,XFG.3,XFG.3,True,0.29486972,0.29486325,1.0
250812.111271_S25,6,6,XFG.4,XFG.4,True,0.33554863,0.33554817,1.0
250812.111285_S17,14,14,XFG.3.4,XFG.3.4,True,0.43488907,0.43489243,1.0
250812.112135_S42,2,2,XFW,XFW,True,0.99627521,0.99618601,1.0
250812.112226_S38,7,7,XFG.3.4.1,XFG.3.4.1,True,0.360825,0.36082388,1.0
250812.112633_S43,12,12,XFG.3.1.3,XFG.3.1.3,True,0.82564599,0.82564434,1.0
250812.112908_S49,16,16,XFG.9,XFG.9,True,0.20564173,0.20555947,1.0
250812.113119_S36,3,3,XFG.3,XFG.3,True,0.45534966,0.45535654,1.0
250812.113238_S31,7,7,XFG.4,XFG.4,True,0.45481608,0.4548173,1.0
250813.111338_S51,7,7,XFJ,XFJ,True,0.29667301,0.29667877,1.0
250813.111750_S40,10,10,XFG.3.4.3,XFG.3.4.3,True,0.56823996,0.56823519,1.0
250813.112093_S50,2,2,LF.7.10.2,LF.7.10.2,True,0.81720964,0.8171776,1.0
250813.112363_S48,8,8,XFG.3.4,XFG.3.4,True,0.273522,0.27352168,1.0
250813.112944_S44,15,15,XFG.3,XFG.3,True,0.31925497,0.31925471,1.0
250813.113452_S39,8,8,PQ.17,PQ.17,True,0.66610263,0.66609768,1.0
250813.113698_S56,8,8,XFG.4,XFG.4,True,0.269108,0.26910755,1.0
250814.112146_S53,8,8,XFG.9,XFG.9,True,0.24488905,0.24497746,1.0
250814.112970_S45,8,8,XFG.3,XFG.3,True,0.33355947,0.33355566,1.0
250814.113196_S54,64,64,XEC.2.2.1,XEC.2.2.1,True,0.352162,0.352162,1.0
250814.113306_S55,14,14,XFG.6,XFG.6,True,0.144656,0.14465611,1.0
250820.BL1_S15,15,15,XFG.3,XFG.3,True,0.40274426,0.40277743,1.0
250830.TW_S16,1,1,B,B,True,0.99797679,0.99795859,1.0
